"audit_id","timestamp","user_id","employee_id","caller_employee_id","role","action","document_id","s3_key","result","ip_address","details"
"AUDIT-19D0D60C02DF","2026-09-08T14:39:01.579699+00:00","710bd560-1011-7002-22b0-9e8d8a20f989","EMP001","EMP001","Employee","VERSION_HISTORY","DOC-EMP001-102","documents/EMP001/contract/employment-contract.pdf","SUCCESS","223.185.24.221","Retrieved 2 versions for employment-contract.pdf"
"AUDIT-F48115F21ABE","2026-09-08T14:38:59.195919+00:00","e17b1560-2071-70d7-fb16-218a7015668c","EMP003","HR001","HR_Admin","DELETE","DOC-EMP003-109","documents/EMP003/offer-letter/offer-letter.pdf","SUCCESS","223.185.24.221","Soft-deleted document DOC-EMP003-109 (offer-letter.pdf)"
"AUDIT-6A2D88A53BE8","2026-09-08T14:38:58.162857+00:00","710bd560-1011-7002-22b0-9e8d8a20f989","EMP002","EMP001","Employee","ACCESS_DENIED","DOC-EMP002-107","documents/EMP002/contract/employment-contract.pdf","DENIED","223.185.24.221","Unauthorized delete attempt: Employee EMP001 cannot access records belonging to employee EMP002"
"AUDIT-66798EE5E7BD","2026-09-08T14:38:57.134463+00:00","e17b1560-2071-70d7-fb16-218a7015668c","EMP999","HR001","HR_Admin","DOWNLOAD","DOC-EMP999-111","documents/EMP999/contract/legal-confidentiality-contract.pdf","SUCCESS","223.185.24.221","Generated presigned download URL for legal-confidentiality-contract.pdf (version: latest)"
"AUDIT-8DCFFA868AD6","2026-09-08T14:38:56.213768+00:00","a1ab55f0-1051-7041-4c16-76dda81f3285","EMP999","MGR001","Manager","ACCESS_DENIED","DOC-EMP999-111","documents/EMP999/contract/legal-confidentiality-contract.pdf","DENIED","223.185.24.221","Unauthorized download attempt: Manager MGR001 is not authorized to access documents for employee EMP999"
"AUDIT-99BFDA7D0F80","2026-09-08T14:38:55.254881+00:00","a1ab55f0-1051-7041-4c16-76dda81f3285","EMP002","MGR001","Manager","DOWNLOAD","DOC-EMP002-107","documents/EMP002/contract/employment-contract.pdf","SUCCESS","223.185.24.221","Generated presigned download URL for employment-contract.pdf (version: latest)"
"AUDIT-20FC6CEA86B4","2026-09-08T14:38:54.294895+00:00","a1ab55f0-1051-7041-4c16-76dda81f3285","EMP001","MGR001","Manager","DOWNLOAD","DOC-EMP001-102","documents/EMP001/contract/employment-contract.pdf","SUCCESS","223.185.24.221","Generated presigned download URL for employment-contract.pdf (version: latest)"
"AUDIT-E22536583ABC","2026-09-08T14:38:53.335502+00:00","710bd560-1011-7002-22b0-9e8d8a20f989","EMP002","EMP001","Employee","ACCESS_DENIED","DOC-EMP002-107","documents/EMP002/contract/employment-contract.pdf","DENIED","223.185.24.221","Unauthorized download attempt: Employee EMP001 cannot access records belonging to employee EMP002"
"AUDIT-84CF4329AD79","2026-09-08T14:38:52.332744+00:00","710bd560-1011-7002-22b0-9e8d8a20f989","EMP001","EMP001","Employee","DOWNLOAD","DOC-EMP001-102","documents/EMP001/contract/employment-contract.pdf","SUCCESS","223.185.24.221","Generated presigned download URL for employment-contract.pdf (version: latest)"
"AUDIT-09351D7A9A05","2026-09-08T14:38:22.254028+00:00","710bd560-1011-7002-22b0-9e8d8a20f989","EMP001","EMP001","Employee","UPLOAD_REQUEST","DOC-B32D893A","documents/EMP001/compliance/safety-training-2026.pdf","SUCCESS","223.185.24.221","Generated presigned upload URL for safety-training-2026.pdf"
